pub_year,country_code,cpc_broad_class,patent_count
1931,NL,Mining related,2
1931,US,Agriculture related,1539
1931,US,Data process related,759
1931,US,Mining related,794
1932,AT,Agriculture related,3
1932,AT,Data process related,15
1932,AT,Mining related,1
1932,BE,Agriculture related,16
1932,BE,Mining related,4
1932,CH,Agriculture related,114
1932,CH,Data process related,71
1932,CH,Mining related,1
1932,DE,Agriculture related,496
1932,DE,Data process related,486
1932,DE,Mining related,175
1932,DK,Agriculture related,1
1932,DK,Data process related,1
1932,ES,Data process related,1
1932,FR,Agriculture related,605
1932,FR,Data process related,471
1932,FR,Mining related,53
1932,GB,Agriculture related,333
1932,GB,Data process related,415
1932,GB,Mining related,129
1932,NL,Agriculture related,1
1932,NL,Data process related,1
1932,US,Agriculture related,1643
1932,US,Data process related,886
1932,US,Mining related,819
1933,AT,Agriculture related,6
1933,AT,Data process related,8
1933,AU,Mining related,1
1933,BE,Agriculture related,14
1933,BE,Data process related,5
1933,CA,Data process related,1
1933,CH,Agriculture related,116
1933,CH,Data process related,56
1933,DE,Agriculture related,358
1933,DE,Data process related,478
1933,DE,Mining related,193
1933,DK,Agriculture related,2
1933,DK,Data process related,1
1933,ES,Agriculture related,1
1933,FR,Agriculture related,523
1933,FR,Data process related,360
1933,FR,Mining related,45
1933,GB,Agriculture related,255
1933,GB,Data process related,353
1933,GB,Mining related,83
1933,NL,Data process related,3
1933,NL,Mining related,1
1933,US,Agriculture related,1248
1933,US,Data process related,799
1933,US,Mining related,609
1934,AT,Data process related,2
1934,BE,Agriculture related,11
1934,BE,Data process related,7
1934,BE,Mining related,1
1934,CH,Agriculture related,115
1934,CH,Data process related,60
1934,CH,Mining related,3
1934,DE,Agriculture related,253
1934,DE,Data process related,286
1934,DE,Mining related,147
1934,DK,Agriculture related,1
1934,DK,Data process related,1
1934,ES,Data process related,1
1934,FR,Agriculture related,451
1934,FR,Data process related,365
1934,FR,Mining related,36
1934,GB,Agriculture related,301
1934,GB,Data process related,319
1934,GB,Mining related,97
1934,NL,Agriculture related,1
1934,NL,Data process related,1
1934,US,Agriculture related,958
1934,US,Data process related,770
1934,US,Mining related,415
1935,AT,Agriculture related,4
1935,AT,Data process related,7
1935,BE,Agriculture related,11
1935,BE,Data process related,1
1935,BE,Mining related,5
1935,CA,Agriculture related,1
1935,CH,Agriculture related,129
1935,CH,Data process related,52
1935,CH,Mining related,2
1935,DE,Agriculture related,276
1935,DE,Data process related,273
1935,DE,Mining related,174
1935,ES,Agriculture related,2
1935,ES,Data process related,1
1935,FR,Agriculture related,331
1935,FR,Data process related,357
1935,FR,Mining related,41
1935,GB,Agriculture related,289
1935,GB,Data process related,318
1935,GB,Mining related,81
1935,NL,Data process related,1
1935,NL,Mining related,1
1935,SE,Agriculture related,1
1935,US,Agriculture related,912
1935,US,Data process related,698
1935,US,Mining related,447
1936,AT,Agriculture related,1
1936,AT,Data process related,6
1936,AU,Data process related,1
1936,BE,Agriculture related,8
1936,BE,Data process related,6
1936,BE,Mining related,3
1936,CA,Agriculture related,1
1936,CH,Agriculture related,116
1936,CH,Data process related,47
1936,CH,Mining related,1
1936,DE,Agriculture related,208
1936,DE,Data process related,265
1936,DE,Mining related,154
1936,DK,Data process related,2
1936,ES,Agriculture related,1
1936,ES,Data process related,2
1936,FR,Agriculture related,270
1936,FR,Data process related,272
1936,FR,Mining related,59
1936,GB,Agriculture related,265
1936,GB,Data process related,281
1936,GB,Mining related,105
1936,NL,Agriculture related,3
1936,NL,Data process related,2
1936,NL,Mining related,2
1936,SE,Agriculture related,2
1936,US,Agriculture related,858
1936,US,Data process related,757
1936,US,Mining related,511
1937,AT,Agriculture related,4
1937,AT,Data process related,8
1937,AT,Mining related,1
1937,BE,Agriculture related,14
1937,BE,Data process related,3
1937,BE,Mining related,1
1937,CH,Agriculture related,117
1937,CH,Data process related,49
1937,CH,Mining related,2
1937,DE,Agriculture related,201
1937,DE,Data process related,290
1937,DE,Mining related,107
1937,DK,Agriculture related,1
1937,DK,Data process related,2
1937,ES,Agriculture related,1
1937,FR,Agriculture related,254
1937,FR,Data process related,306
1937,FR,Mining related,35
